growthT,assayT,biorep,generation,growthrate,CN,V,Ccell_pg,M,Ccell_umol,Np 24hrs mumolO2cell,Gp24hrs mumolO2cell,resp24hrs mumolO2cell,cellsml,NP umol C per cell per hour ,GP umol C per cell per hour ,R umol C per cell per hour 
22,40,b1,t300,0.133767561,6.978397352,2130.120247,158.1329208,0.777243096,1.32E-05,3.45E-06,5.07E-06,4.24E-07,517110,1.44E-07,2.11E-07,1.77E-08
22,40,b2,t300,0.016142709,7.091592992,7678.612836,162.7390666,0.780016549,1.36E-05,6.12E-07,3.08E-06,1.12E-07,555720,2.55E-08,1.28E-07,4.67E-09
22,40,b3,t300,0.019699591,7.049828886,16429.83635,196.2644084,0.779001346,1.64E-05,3.69E-07,2.85E-06,5.59E-08,651750,1.54E-08,1.19E-07,2.33E-09
22,40,b4,t300,62,6.730926718,2620.875986,152.0712702,0.770929242,1.27E-05,6.76E-07,3.15E-06,1.32E-07,642620,2.82E-08,1.31E-07,5.50E-09
22,40,b5,t300,0.0185,6.398722624,8261.976986,176.8723931,0.76186855,1.47E-05,6.64E-07,3.08E-06,1.28E-07,612700,2.77E-08,1.28E-07,5.33E-09
22,40,b6,t300,14,6.806838736,16533.67375,158.0387697,0.772903756,1.32E-05,6.44E-07,2.69E-06,1.00E-07,604120,2.68E-08,1.12E-07,4.17E-09
26,15,b1,t300,0.501934832,7.057256523,7964.721436,211.4378126,0.779182582,1.76E-05,1.21E-06,1.66E-06,3.08E-08,614020,5.04E-08,6.92E-08,1.28E-09
26,15,b2,t300,0.468608122,7.775900061,6438.29183,210.0861549,0.795415257,1.75E-05,1.62E-06,2.20E-06,5.33E-08,550220,6.75E-08,9.17E-08,2.22E-09
26,15,b3,t300,0.442747647,6.513228364,7577.86136,205.8846037,0.765071496,1.72E-05,4.27E-06,5.28E-06,2.52E-07,585640,1.78E-07,2.20E-07,1.05E-08
26,15,b4,t300,0.623497396,6.504353026,8355.564721,198.4348513,0.76482632,1.65E-05,1.61E-06,2.26E-06,6.34E-08,608410,6.71E-08,9.42E-08,2.64E-09
26,15,b5,t300,0.417687006,6.807343416,9955.746451,177.4163894,0.772916769,1.48E-05,1.81E-05,2.33E-05,6.29E-06,633710,7.54E-07,9.71E-07,2.62E-07
26,15,b6,t300,0.53917633,7.877800092,4115.061335,196.6671672,0.797525767,1.64E-05,1.14E-05,1.15E-05,6.30E-08,636240,4.75E-07,4.79E-07,2.63E-09
26,20,b1,t300,1.371385125,7.057256523,4150.980827,211.4378126,0.779182582,1.76E-05,3.68E-06,3.98E-06,6.38E-08,657580,1.53E-07,1.66E-07,2.66E-09
26,20,b2,t300,0.43668717,7.775900061,10379.92994,210.0861549,0.795415257,1.75E-05,2.82E-06,3.92E-06,1.77E-07,607530,1.18E-07,1.63E-07,7.38E-09
26,20,b3,t300,0.785688466,6.513228364,4961.180253,205.8846037,0.765071496,1.72E-05,5.14E-06,6.85E-06,5.13E-07,658460,2.14E-07,2.85E-07,2.14E-08
26,20,b4,t300,0.583686587,6.504353026,6580.381311,198.4348513,0.76482632,1.65E-05,5.49E-06,7.01E-06,5.05E-07,651750,2.29E-07,2.92E-07,2.10E-08
26,20,b5,t300,0.554030659,6.807343416,6119.580115,177.4163894,0.772916769,1.48E-05,2.90E-05,3.59E-05,1.37E-05,654610,1.21E-06,1.50E-06,5.71E-07
26,20,b6,t300,0.626479746,7.877800092,7478.40425,196.6671672,0.797525767,1.64E-05,1.90E-05,2.04E-05,1.64E-06,552750,7.92E-07,8.50E-07,6.83E-08
26,25,b1,t300,1.536070119,7.057256523,5051.064498,211.4378126,0.779182582,1.76E-05,2.70E-06,3.40E-06,1.06E-07,591030,1.13E-07,1.42E-07,4.42E-09
26,25,b2,t300,0.522233909,7.775900061,5119.580115,210.0861549,0.795415257,1.75E-05,5.13E-06,6.24E-06,3.25E-07,591690,2.14E-07,2.60E-07,1.35E-08
26,25,b3,t300,0.711995587,6.513228364,7262.222539,205.8846037,0.765071496,1.72E-05,6.42E-06,9.13E-06,1.01E-06,551320,2.68E-07,3.80E-07,4.21E-08
